geography,id,HH_control,HHSize1_control,HHSize2_control,HHSize3_control,HHSize4p_control,Income1_control,Income2_control,Income3_control,Income4_control,HHWrk0_control,HHWrk1_control,HHWrk2_control,HHWrk3p_control,Tot_Emp_control,Tot_Pop_control,HH_result,HHSize1_result,HHSize2_result,HHSize3_result,HHSize4p_result,Income1_result,Income2_result,Income3_result,Income4_result,HHWrk0_result,HHWrk1_result,HHWrk2_result,HHWrk3p_result,Tot_Emp_result,Tot_Pop_result,HH_diff,HHSize1_diff,HHSize2_diff,HHSize3_diff,HHSize4p_diff,Income1_diff,Income2_diff,Income3_diff,Income4_diff,HHWrk0_diff,HHWrk1_diff,HHWrk2_diff,HHWrk3p_diff,Tot_Emp_diff,Tot_Pop_diff
PUMA,2500503,63893.0,19706.0,22484.0,10363.0,11340.0,15625.0,15597.0,14458.0,18213.0,15007.0,23073.0,21929.0,3884.0,138828.0,152519.0,63893,19645,22463,10396,11389,15663,15610,14447,18173,13514,22400,22951,5028,95971,150053,0.0,-61.0,-21.0,33.0,49.0,38.0,13.0,-11.0,-40.0,-1493.0,-673.0,1022.0,1144.0,-42857.0,-2466.0
PUMA,2500504,69151.0,22918.0,23180.0,11348.0,11705.0,20185.0,17567.0,14282.0,17117.0,15869.0,24628.0,22959.0,5695.0,106214.0,167919.0,69151,22879,23167,11361,11744,20136,17557,14304,17154,15681,24536,23066,5868,101974,166796,0.0,-39.0,-13.0,13.0,39.0,-49.0,-10.0,22.0,37.0,-188.0,-92.0,107.0,173.0,-4240.0,-1123.0
PUMA,2500505,63011.0,19762.0,22556.0,10726.0,9967.0,13332.0,15281.0,16962.0,17436.0,14103.0,22656.0,22580.0,3672.0,45078.0,140552.0,63011,20287,22766,10641,9317,13272,15218,17028,17493,15934,23154,20860,3063,74077,153854,0.0,525.0,210.0,-85.0,-650.0,-60.0,-63.0,66.0,57.0,1831.0,498.0,-1720.0,-609.0,28999.0,13302.0
PUMA,2500506,61443.0,19954.0,27818.0,8097.0,5574.0,11849.0,15304.0,12620.0,21670.0,12313.0,24030.0,21172.0,3928.0,151423.0,145048.0,61443,19664,27969,8316,5494,11881,15308,12617,21637,10729,22982,22238,5494,95425,130671,0.0,-290.0,151.0,219.0,-80.0,32.0,4.0,-3.0,-33.0,-1584.0,-1048.0,1066.0,1566.0,-55998.0,-14377.0
PUMA,2500507,64039.0,19464.0,27324.0,8786.0,8465.0,16415.0,21937.0,17055.0,8632.0,13137.0,21877.0,22743.0,6282.0,53393.0,141022.0,64816,19898,27535,8744,8639,16468,22301,17559,8488,14774,22634,21656,5752,83245,155119,777.0,434.0,211.0,-42.0,174.0,53.0,364.0,504.0,-144.0,1637.0,757.0,-1087.0,-530.0,29852.0,14097.0
PUMA,2500508,59149.0,19360.0,22274.0,9016.0,8499.0,17825.0,16828.0,16172.0,8324.0,14962.0,20992.0,18819.0,4376.0,38584.0,144197.0,59149,19633,22412,8995,8109,17685,16688,16235,8541,17014,21398,17158,3579,66451,150977,0.0,273.0,138.0,-21.0,-390.0,-140.0,-140.0,63.0,217.0,2052.0,406.0,-1661.0,-797.0,27867.0,6780.0
PUMA,2500701,89762.0,27609.0,31695.0,14179.0,16279.0,34849.0,26269.0,18070.0,10574.0,29534.0,28703.0,24349.0,7176.0,77087.0,224295.0,89762,27667,31718,14184,16193,34721,26266,18127,10648,30948,28820,23397,6597,95405,226010,0.0,58.0,23.0,5.0,-86.0,-128.0,-3.0,57.0,74.0,1414.0,117.0,-952.0,-579.0,18318.0,1715.0
PUMA,2500702,50644.0,15230.0,16878.0,7989.0,10547.0,10491.0,12398.0,12130.0,15625.0,12430.0,16674.0,17834.0,3706.0,48276.0,122378.0,50644,15309,16914,7985,10436,10465,12351,12127,15701,13197,16868,17183,3396,61422,124610,0.0,79.0,36.0,-4.0,-111.0,-26.0,-47.0,-3.0,76.0,767.0,194.0,-651.0,-310.0,13146.0,2232.0
PUMA,2500703,101627.0,39669.0,32918.0,14565.0,14475.0,35849.0,25712.0,20574.0,19492.0,30914.0,35693.0,29068.0,5952.0,97781.0,229273.0,103877,39944,33059,14633,16241,35895,26097,21595,20290,32061,36445,29147,6224,113411,243121,2250.0,275.0,141.0,68.0,1766.0,46.0,385.0,1021.0,798.0,1147.0,752.0,79.0,272.0,15630.0,13848.0
PUMA,2500704,48889.0,18119.0,14555.0,7362.0,8853.0,21050.0,13136.0,9227.0,5476.0,16043.0,15706.0,13290.0,3850.0,33546.0,114487.0,50721,18417,14790,7527,9987,21099,13576,9976,6070,17887,16265,12866,3703,53106,126593,1832.0,298.0,235.0,165.0,1134.0,49.0,440.0,749.0,594.0,1844.0,559.0,-424.0,-147.0,19560.0,12106.0
PUMA,2501000,65035.0,20419.0,21792.0,10643.0,12181.0,17201.0,16390.0,16865.0,14579.0,16643.0,21687.0,20707.0,5998.0,74421.0,158412.0,65035,20421,21794,10647,12173,17144,16368,16875,14648,16960,21768,20467,5840,80222,158657,0.0,2.0,2.0,4.0,-8.0,-57.0,-22.0,10.0,69.0,317.0,81.0,-240.0,-158.0,5801.0,245.0
PUMA,2501300,51710.0,14125.0,19499.0,8212.0,9874.0,9907.0,13162.0,14379.0,14262.0,12117.0,17162.0,17784.0,4647.0,90109.0,129599.0,53622,14215,19757,8503,11147,10290,13448,14899,14985,12108,17771,18476,5267,84222,133235,1912.0,90.0,258.0,291.0,1273.0,383.0,286.0,520.0,723.0,-9.0,609.0,692.0,620.0,-5887.0,3636.0
PUMA,2501400,55398.0,15270.0,18157.0,9575.0,12396.0,12315.0,11223.0,10921.0,20939.0,12694.0,19666.0,19287.0,3751.0,60226.0,135995.0,55398,15319,18178,9572,12329,12268,11194,10921,21015,13105,19799,18918,3576,68363,137682,0.0,49.0,21.0,-3.0,-67.0,-47.0,-29.0,0.0,76.0,411.0,133.0,-369.0,-175.0,8137.0,1687.0
PUMA,2501600,66427.0,21801.0,25695.0,9083.0,9848.0,21282.0,21175.0,14508.0,9462.0,20120.0,21877.0,19418.0,5012.0,46119.0,148299.0,71585,22694,26495,9831,12565,22154,22344,16022,11065,23451,23719,19376,5039,77588,180871,5158.0,893.0,800.0,748.0,2717.0,872.0,1169.0,1514.0,1603.0,3331.0,1842.0,-42.0,27.0,31469.0,32572.0
PUMA,2501900,65683.0,21029.0,26032.0,9130.0,9492.0,35197.0,18821.0,8588.0,3077.0,28200.0,20710.0,12621.0,4152.0,87909.0,166439.0,65683,20941,26008,9162,9572,34589,18506,8396,4192,27001,20708,13185,4789,70864,163629,0.0,-88.0,-24.0,32.0,80.0,-608.0,-315.0,-192.0,1115.0,-1199.0,-2.0,564.0,637.0,-17045.0,-2810.0
PUMA,2501901,67689.0,24802.0,20859.0,9839.0,12189.0,26809.0,19809.0,13258.0,7813.0,22733.0,22013.0,18102.0,4841.0,66782.0,155414.0,68403,24855,20920,9878,12750,26809,19863,13753,7978,23183,22265,18133,4822,72997,159764,714.0,53.0,61.0,39.0,561.0,0.0,54.0,495.0,165.0,450.0,252.0,31.0,-19.0,6215.0,4350.0
PUMA,2501902,55372.0,18444.0,19586.0,8137.0,9205.0,18426.0,16781.0,11715.0,8450.0,18645.0,16336.0,15724.0,4667.0,37540.0,126586.0,59125,19213,20266,8736,10910,18728,17573,12911,9913,21364,17631,15482,4648,62539,150271,3753.0,769.0,680.0,599.0,1705.0,302.0,792.0,1196.0,1463.0,2719.0,1295.0,-242.0,-19.0,24999.0,23685.0
PUMA,2502400,53794.0,15250.0,16896.0,9445.0,12203.0,13068.0,12897.0,11534.0,16295.0,11415.0,18753.0,19610.0,4016.0,60891.0,129958.0,53794,15304,16919,9436,12135,13039,12875,11533,16347,11791,18891,19264,3848,68963,131658,0.0,54.0,23.0,-9.0,-68.0,-29.0,-22.0,-1.0,52.0,376.0,138.0,-346.0,-168.0,8072.0,1700.0
PUMA,2502800,68556.0,23816.0,23099.0,10859.0,10782.0,20119.0,17618.0,18907.0,11912.0,18671.0,23834.0,20792.0,5259.0,72997.0,155995.0,70871,24090,23434,11200,12147,20351,18054,19606,12860,19670,24703,21132,5366,83065,166135,2315.0,274.0,335.0,341.0,1365.0,232.0,436.0,699.0,948.0,999.0,869.0,340.0,107.0,10068.0,10140.0
PUMA,2503301,69614.0,28244.0,30113.0,6198.0,5059.0,28865.0,19149.0,11615.0,9985.0,23570.0,24577.0,17206.0,4261.0,109286.0,163937.0,70171,27773,30335,6544,5519,28929,19216,11765,10261,22448,24395,17809,5519,90598,147573,557.0,-471.0,222.0,346.0,460.0,64.0,67.0,150.0,276.0,-1122.0,-182.0,603.0,1258.0,-18688.0,-16364.0
PUMA,2503302,109838.0,42214.0,45185.0,12238.0,10201.0,32603.0,23883.0,15570.0,37782.0,29235.0,38027.0,36675.0,5901.0,355966.0,227263.0,112772,42875,46081,13391,10425,33560,24404,16186,38622,24604,36740,41003,10425,173020,233348,2934.0,661.0,896.0,1153.0,224.0,957.0,521.0,616.0,840.0,-4631.0,-1287.0,4328.0,4524.0,-182946.0,6085.0
PUMA,2503303,74608.0,25560.0,28345.0,11050.0,9653.0,23724.0,23917.0,14495.0,12472.0,19555.0,27655.0,21902.0,5496.0,86715.0,174912.0,74608,25553,28346,11060,9649,23693,23886,14508,12521,19616,27669,21855,5468,87921,174776,0.0,-7.0,1.0,10.0,-4.0,-31.0,-31.0,13.0,49.0,61.0,14.0,-47.0,-28.0,1206.0,-136.0
PUMA,2503304,57411.0,19561.0,19137.0,9769.0,8944.0,25045.0,17121.0,9601.0,5644.0,18505.0,20237.0,13965.0,4704.0,80780.0,137975.0,61424,19815,19565,10218,11826,25949,17968,10518,6989,19200,21556,15307,5361,83012,156008,4013.0,254.0,428.0,449.0,2882.0,904.0,847.0,917.0,1345.0,695.0,1319.0,1342.0,657.0,2232.0,18033.0
