geography,id,HH_control,HHSize1_control,HHSize2_control,HHSize3_control,HHSize4p_control,Income1_control,Income2_control,Income3_control,Income4_control,HHWrk0_control,HHWrk1_control,HHWrk2_control,HHWrk3p_control,HH_Pop_control,HH_result,HHSize1_result,HHSize2_result,HHSize3_result,HHSize4p_result,Income1_result,Income2_result,Income3_result,Income4_result,HHWrk0_result,HHWrk1_result,HHWrk2_result,HHWrk3p_result,HH_Pop_result,HH_diff,HHSize1_diff,HHSize2_diff,HHSize3_diff,HHSize4p_diff,Income1_diff,Income2_diff,Income3_diff,Income4_diff,HHWrk0_diff,HHWrk1_diff,HHWrk2_diff,HHWrk3p_diff,HH_Pop_diff
PUMA,2504303.0,48864,11993,17932,8582,10357,12997,14114,12510,9243,11548,17376,16207,3733,123856,48864,11993,17929,8581,10361,12991,14115,12513,9245,11550,17377,16205,3732,123869,0,0,-3,-1,4,-6,1,3,2,2,1,-2,-1,13
PUMA,2504500.0,47251,14982,17189,7698,7382,23144,13574,7412,3121,17958,16282,10782,2229,111056,47251,14981,17190,7695,7385,23144,13577,7414,3116,17956,16282,10783,2230,111075,0,-1,1,-3,3,0,3,2,-5,-2,0,1,1,19
PUMA,2504700.0,56357,17743,22439,7079,9096,16399,17147,12895,9916,20868,18044,14018,3427,127310,56357,17743,22444,7079,9091,16395,17148,12900,9914,20868,18047,14015,3427,127305,0,0,5,0,-5,-4,1,5,-2,0,3,-3,0,-5
PUMA,2504800.0,52851,17869,21975,6095,6912,15793,17657,11398,8003,20172,17844,12215,2620,110116,52851,17870,21973,6093,6915,15792,17658,11396,8005,20168,17845,12218,2620,110120,0,1,-2,-2,3,-1,1,-2,2,-4,1,3,0,4
PUMA,2504901.0,43712,10220,14978,7282,11232,9190,12278,12212,10032,10009,14095,14777,4831,114441,43712,10221,14981,7282,11228,9191,12280,12208,10033,10012,14095,14775,4830,114432,0,1,3,0,-4,1,2,-4,1,3,0,-2,-1,-9
PUMA,2504902.0,42109,9044,15402,7047,10616,8200,11115,12686,10108,9763,13331,14807,4208,111150,42109,9044,15401,7046,10618,8197,11117,12687,10108,9761,13333,14806,4209,111170,0,0,-1,-1,2,-3,2,1,0,-2,2,-1,1,20
PUMA,2504903.0,52427,14348,17024,8112,12943,11869,13887,12728,13943,14048,17625,16669,4085,130844,52427,14349,17021,8115,12942,11866,13887,12729,13945,14046,17624,16670,4087,130846,0,1,-3,3,-1,-3,0,1,2,-2,-1,1,2,2
PUMA,3300300.0,707,232,114,195,166,57,170,173,307,133,246,278,50,1738,707,232,114,195,166,57,170,173,307,133,246,278,50,1738,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUMA,3300500.0,2732,1774,548,72,338,784,751,912,285,687,1144,819,82,5046,2732,1773,548,72,339,784,751,912,285,686,1146,818,82,5048,0,-1,0,0,1,0,0,0,0,-1,2,-1,0,2
PUMA,3300600.0,35183,11822,10094,6257,7010,5368,9504,10301,10010,5950,13027,13250,2956,84718,35183,11822,10094,6260,7007,5366,9505,10302,10010,5950,13026,13250,2957,84708,0,0,0,3,-3,-2,1,1,0,0,-1,0,1,-10
