OID_,FID_PUMAs2,STATEFP10,PUMACE10,GEOID10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,FID_candidate_CTPS_TAZ_STATEWIDE_2019,OBJECTID_1,id,type,town,state,town_state,mpo,in_brmpo,subregion,Shape_Leng,sector,Shape_Length,Shape_Area,REGION,TAZ,PUMA
286,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4883,4884,5325,I,HADLEY,MA,"HADLEY,MA",PVPC,0, ,12602.98981,,0.132529197,0.000545571,1,5325,2501600
287,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4884,4885,5321,I,HADLEY,MA,"HADLEY,MA",PVPC,0, ,31790.42686,,0.329909473,0.003303423,1,5321,2501600
289,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4888,4889,5412,I,EASTHAMPTON,MA,"EASTHAMPTON,MA",PVPC,0, ,5749.035207,,0.060761944,8.65723E-05,1,5412,2501600
292,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4893,4894,5623,I,GRANBY,MA,"GRANBY,MA",PVPC,0, ,25133.69973,,0.271197462,0.002477288,1,5623,2501600
293,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4894,4895,5624,I,BELCHERTOWN,MA,"BELCHERTOWN,MA",PVPC,0, ,25883.54681,,0.262419459,0.00204497,1,5624,2501600
294,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4895,4896,5246,I,GRANBY,MA,"GRANBY,MA",PVPC,0, ,18813.08963,,0.195533218,0.001530575,1,5246,2501600
295,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4898,4899,5627,I,GRANBY,MA,"GRANBY,MA",PVPC,0, ,16203.75728,,0.172950397,0.000983206,1,5627,2501600
296,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4900,4901,5248,I,SOUTH HADLEY,MA,"SOUTH HADLEY,MA",PVPC,0, ,14143.61436,,0.147916291,0.000572168,1,5248,2501600
297,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4901,4902,5628,I,SOUTH HADLEY,MA,"SOUTH HADLEY,MA",PVPC,0, ,6410.408019,,0.064794198,0.000109035,1,5628,2501600
298,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4902,4903,5626,I,SOUTH HADLEY,MA,"SOUTH HADLEY,MA",PVPC,0, ,21868.39851,,0.233497752,0.001656031,1,5626,2501600
299,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4903,4904,5336,I,SOUTH HADLEY,MA,"SOUTH HADLEY,MA",PVPC,0, ,15186.89367,,0.157416648,0.000773308,1,5336,2501600
302,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4910,4911,5320,I,EASTHAMPTON,MA,"EASTHAMPTON,MA",PVPC,0, ,18133.80594,,0.183177047,0.00079241,1,5320,2501600
303,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4913,4914,5338,I,EASTHAMPTON,MA,"EASTHAMPTON,MA",PVPC,0, ,13427.31875,,0.144980982,0.000414458,1,5338,2501600
304,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4917,4918,5339,I,EASTHAMPTON,MA,"EASTHAMPTON,MA",PVPC,0, ,10196.9372,,0.108203328,0.000515777,1,5339,2501600
305,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4921,4922,5413,I,EASTHAMPTON,MA,"EASTHAMPTON,MA",PVPC,0, ,12514.96074,,0.131240827,0.000528239,1,5413,2501600
309,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4992,4993,5268,I,SOUTH HADLEY,MA,"SOUTH HADLEY,MA",PVPC,0, ,5791.011231,,0.063357238,0.000143472,1,5268,2501600
311,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4996,4997,5632,I,SOUTH HADLEY,MA,"SOUTH HADLEY,MA",PVPC,0, ,4700.779675,,0.050385079,0.000122619,1,5632,2501600
312,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4997,4998,5633,I,SOUTH HADLEY,MA,"SOUTH HADLEY,MA",PVPC,0, ,6370.003796,,0.064417462,0.000203605,1,5633,2501600
313,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,5001,5002,5631,I,SOUTH HADLEY,MA,"SOUTH HADLEY,MA",PVPC,0, ,7792.624766,,0.080535703,0.000323096,1,5631,2501600
314,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,5002,5003,5630,I,SOUTH HADLEY,MA,"SOUTH HADLEY,MA",PVPC,0, ,7558.932682,,0.077290781,0.000137332,1,5630,2501600
315,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,5004,5005,5634,I,SOUTH HADLEY,MA,"SOUTH HADLEY,MA",PVPC,0, ,5960.88207,,0.062616636,0.000118862,1,5634,2501600
316,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,5009,5010,5337,I,SOUTH HADLEY,MA,"SOUTH HADLEY,MA",PVPC,0, ,4143.508982,,0.041186476,4.14148E-05,1,5337,2501600
317,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,5016,5017,5335,I,SOUTH HADLEY,MA,"SOUTH HADLEY,MA",PVPC,0, ,16840.98323,,0.171456732,0.000865427,1,5335,2501600
318,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,5037,5038,5405,I,NORTHAMPTON,MA,"NORTHAMPTON,MA",PVPC,0, ,6500.686878,,0.069859646,0.000138914,1,5405,2501600
