OID_,REGION,TAZ,PUMA
1246,1,1070,2503603
1247,1,1077,2503603
1248,1,1081,2503603
1251,1,1119,2503603
1252,1,1122,2503603
1253,1,1117,2503603
1255,1,1073,2503603
1256,1,1074,2503603
1257,1,1078,2503603
1258,1,1079,2503603
1259,1,1080,2503603
1260,1,1093,2503603
1261,1,1129,2503603
1263,1,1072,2503603
1264,1,1076,2503603
1266,1,1087,2503603
1267,1,1130,2503603
1268,1,1069,2503603
1269,1,1075,2503603
1271,1,1092,2503603
1272,1,1111,2503603
1273,1,1071,2503603
1275,1,1094,2503603
1276,1,1108,2503603
1277,1,1109,2503603
1279,1,1096,2503603
1280,1,1106,2503603
1281,1,1107,2503603
1282,1,1110,2503603
1283,1,1100,2503603
1290,1,1097,2503603
1291,1,1098,2503603
1292,1,1099,2503603
1293,1,1105,2503603
1294,1,1102,2503603
1295,1,1101,2503603
1296,1,1104,2503603
1297,1,1086,2503603
1298,1,1089,2503603
1299,1,1095,2503603
1300,1,1103,2503603
1301,1,1131,2503603
1302,1,1132,2503603
1303,1,1084,2503603
1304,1,1085,2503603
1305,1,1807,2503900
1306,1,1829,2503900
1307,1,1794,2503900
1308,1,1833,2503900
1309,1,1830,2503900
1311,1,1822,2503900
1312,1,1872,2503900
1316,1,1866,2503900
1320,1,1806,2503900
1321,1,1864,2503900
1322,1,1868,2503900
1323,1,1860,2503900
1324,1,1859,2503900
1325,1,1869,2503900
1326,1,1870,2503900
1328,1,1834,2503900
1329,1,1832,2503900
1330,1,1862,2503900
1333,1,1863,2503900
1334,1,1847,2503900
1336,1,1861,2503900
1337,1,1858,2503900
1338,1,1844,2503900
1339,1,1838,2503900
1340,1,1837,2503900
1341,1,1831,2503900
1342,1,1828,2503900
1343,1,1823,2503900
1344,1,1856,2503900
1345,1,1853,2503900
1346,1,1846,2503900
1347,1,1840,2503900
1348,1,1845,2503900
1349,1,1843,2503900
1350,1,1836,2503900
1351,1,1835,2503900
1352,1,1826,2503900
1353,1,1827,2503900
1354,1,1819,2503900
1355,1,1820,2503900
1356,1,1854,2503900
1359,1,1805,2503900
1360,1,1839,2503900
1361,1,1842,2503900
1362,1,1809,2503900
1363,1,1804,2503900
1364,1,1818,2503900
1365,1,1798,2503900
1367,1,1810,2503900
1368,1,1821,2503900
1369,1,1813,2503900
1370,1,1817,2503900
1371,1,1815,2503900
1372,1,1808,2503900
1373,1,1811,2503900
1374,1,1824,2503900
1375,1,1814,2503900
1376,1,1812,2503900
1377,1,1816,2503900
1379,1,1803,2503900
1384,1,1800,2503900
1385,1,1797,2503900
1386,1,1795,2503900
1389,1,1796,2503900
1390,1,1792,2503900
1395,1,1799,2503900
1396,1,1801,2503900
1397,1,1802,2503900
1399,1,1865,2503900
1400,1,1841,2503900
1401,1,1867,2503900
1402,1,399,2503900
1403,1,1848,2503900
1404,1,1793,2503900
1405,1,1849,2503900
1406,1,1850,2503900
1407,1,1851,2503900
1408,1,1852,2503900
1409,1,1857,2503900
1411,1,1825,2503900
1412,1,1855,2503900
1413,1,1871,2503900
1420,1,4686,2504700
1421,1,4656,2504700
1422,1,4614,2504700
1423,1,4621,2504700
1424,1,4636,2504700
1425,1,4713,2504700
1426,1,4714,2504700
1427,1,4715,2504700
1428,1,4716,2504700
1429,1,4657,2504700
1430,1,4655,2504700
1431,1,4658,2504700
1432,1,4625,2504700
1433,1,4690,2504700
1434,1,4624,2504700
1435,1,4622,2504700
1436,1,4629,2504700
1437,1,4628,2504700
1439,1,4702,2504700
1440,1,4701,2504700
1441,1,4699,2504700
1442,1,4700,2504700
1443,1,4704,2504700
1444,1,4695,2504700
1445,1,4692,2504700
