TAZ,PUMA,REGION
208767,4400201,1
208781,4400201,1
208705,4400201,1
208265,4400104,1
208266,4400104,1
208703,4400201,1
208704,4400201,1
208706,4400201,1
208145,4400103,1
208709,4400201,1
208710,4400201,1
208723,4400201,1
208721,4400201,1
208378,4400103,1
208732,4400201,1
208736,4400201,1
1755,2504000,1
208768,4400201,1
208733,4400201,1
208724,4400201,1
208718,4400201,1
208726,4400201,1
208339,4400102,1
208602,4400300,1
208743,4400201,1
208715,4400201,1
208746,4400201,1
208738,4400201,1
208948,4400400,1
208072,4400103,1
208714,4400201,1
208744,4400201,1
208949,4400400,1
208966,4400400,1
208926,4400400,1
208950,4400400,1
208951,4400400,1
208742,4400201,1
841,2502800,1
208988,4400400,1
208979,4400400,1
208978,4400400,1
208914,4400400,1
208960,4400400,1
208957,4400400,1
722,2500506,1
208739,4400201,1
208965,4400400,1
208986,4400400,1
208930,4400400,1
208932,4400400,1
208937,4400400,1
208956,4400400,1
208908,4400400,1
208958,4400400,1
208019,4400102,1
208901,4400400,1
208737,4400201,1
208904,4400400,1
208985,4400400,1
208983,4400400,1
208980,4400400,1
208931,4400400,1
208925,4400400,1
208959,4400400,1
208902,4400400,1
208984,4400400,1
208903,4400400,1
3180,2500300,1
208933,4400400,1
208934,4400400,1
208915,4400400,1
208938,4400400,1
5601,2501900,1
208955,4400400,1
208967,4400400,1
208947,4400400,1
208403,4400102,1
208929,4400400,1
208936,4400400,1
208917,4400400,1
208913,4400400,1
208916,4400400,1
208734,4400201,1
208946,4400400,1
208180,4400104,1
2819,2500300,1
208907,4400400,1
208928,4400400,1
208906,4400400,1
208954,4400400,1
208963,4400400,1
208935,4400400,1
208909,4400400,1
208912,4400400,1
208945,4400400,1
208735,4400201,1
208924,4400400,1
208970,4400400,1
208964,4400400,1
208910,4400400,1
208923,4400400,1
208905,4400400,1
208194,4400104,1
208911,4400400,1
208918,4400400,1
208922,4400400,1
208120,4400104,1
208972,4400400,1
208968,4400400,1
208943,4400400,1
208921,4400400,1
208992,4400400,1
208121,4400104,1
208087,4400104,1
208942,4400400,1
208920,4400400,1
2792,2500300,1
208941,4400400,1
208717,4400201,1
208085,4400103,1
208719,4400201,1
208110,4400103,1
208111,4400103,1
208291,4400103,1
208720,4400201,1
208295,4400103,1
208057,4400103,1
208702,4400201,1
208056,4400103,1
208293,4400103,1
208728,4400201,1
208289,4400103,1
208136,4400103,1
208713,4400201,1
208031,4400101,1
208712,4400201,1
208711,4400201,1
208725,4400201,1
208716,4400201,1
208043,4400101,1
208051,4400101,1
208701,4400201,1
208041,4400101,1
208042,4400101,1
208048,4400101,1
208037,4400101,1
463,2503306,1
208047,4400101,1
458,2503306,1
208049,4400101,1
208050,4400101,1
705,2500506,1
208026,4400101,1
208038,4400101,1
208039,4400101,1
702,2500506,1
208040,4400101,1
208046,4400101,1
208013,4400101,1
208146,4400103,1
208034,4400101,1
208137,4400103,1
208017,4400101,1
208009,4400101,1
4093,2504200,1
208016,4400101,1
208014,4400101,1
208012,4400101,1
208015,4400101,1
208452,4400101,1
208451,4400101,1
208393,4400103,1
208607,4400300,1
208010,4400101,1
208453,4400101,1
208306,4400104,1
208450,4400101,1
208448,4400101,1
525,2500508,1
2759,2500304,1
208268,4400104,1
208011,4400101,1
208157,4400104,1
208449,4400101,1
208001,4400102,1
208018,4400101,1
208032,4400101,1
208045,4400104,1
208023,4400101,1
208162,4400104,1
208044,4400101,1
208035,4400101,1
208036,4400101,1
208165,4400104,1
208033,4400101,1
208166,4400104,1
208167,4400104,1
208765,4400201,1
208785,4400201,1
208775,4400201,1
208780,4400201,1
208264,4400104,1
208116,4400103,1
208782,4400201,1
208779,4400201,1
208100,4400103,1
208708,4400201,1
208097,4400103,1
208300,4400103,1
208707,4400201,1
208181,4400104,1
208778,4400201,1
208783,4400201,1
208353,4400103,1
208186,4400104,1
208777,4400201,1
208077,4400103,1
208075,4400103,1
208188,4400104,1
208191,4400104,1
208193,4400104,1
208392,4400103,1
208311,4400104,1
208606,4400300,1
208076,4400103,1
208303,4400104,1
208267,4400104,1
208058,4400103,1
208098,4400103,1
208099,4400103,1
208298,4400103,1
208354,4400103,1
208375,4400103,1
208610,4400300,1
208617,4400300,1
208091,4400103,1
208348,4400103,1
208079,4400103,1
208062,4400103,1
208059,4400103,1
208613,4400300,1
208363,4400103,1
208380,4400102,1
208367,4400103,1
208397,4400103,1
77,2503302,1
208601,4400300,1
208605,4400300,1
208151,4400103,1
208063,4400103,1
208604,4400300,1
208603,4400300,1
208256,4400103,1
208323,4400102,1
208003,4400102,1
208002,4400102,1
208404,4400102,1
208005,4400102,1
208008,4400102,1
208412,4400102,1
15,2503302,1
208024,4400102,1
208025,4400102,1
208498,4400102,1
208454,4400102,1
208090,4400102,1
1736,2504000,1
208021,4400102,1
2462,2503601,1
208004,4400102,1
4087,2504200,1
208022,4400102,1
1499,2503500,1
208020,4400102,1
208402,4400102,1
499,2503306,1
4088,2504200,1
2461,2503601,1
4091,2504200,1
4381,2504200,1
69,2503302,1
4094,2504200,1
4099,2504200,1
208413,4400102,1
208457,4400102,1
208458,4400102,1
75,2503302,1
