OID_,id,GISMATCH,GEOID,STATEFIP,State_1,PUMA,Name,pumaArea,Shape_Length,Shape_Area,AreaMi
139,1906,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,16770.405510343851347,14339831.634217059239745,5.536639947824725
140,1906,2503900,2503900,25,Massachusetts,03900,"Weymouth Town, Braintree Town Cities, Hingham, Hull & Cohasset Towns PUMA",68.416600543200005,2520.907003783099753,708.881982852948681,0.000273700863767
141,1906,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,726.163723259031258,12.269920266792287,0.000004737442701
142,1125,2503603,2503603,25,Massachusetts,03603,Norfolk County (Northeast)--Quincy City & Milton Town PUMA,30.095049085900001,2839.925945460422554,341078.406897621403914,0.131691109152475
143,4109,2504200,2504200,25,Massachusetts,04200,"Attleboro City, North Attleborough, Swansea, Seekonk, Rehoboth & Plainville Towns PUMA",148.000898113000005,2880.716300316447814,408093.669496645277832,0.157565846700603
144,1889,2504901,2504901,25,Massachusetts,04901,Plymouth & Bristol Counties (Outside Brockton City) PUMA,118.112266769000001,7819.703144811514903,2389449.133458954282105,0.922571468275564
145,1891,2504901,2504901,25,Massachusetts,04901,Plymouth & Bristol Counties (Outside Brockton City) PUMA,118.112266769000001,5965.209716838548047,1663440.588549858424813,0.642258001929537
146,1891,2503900,2503900,25,Massachusetts,03900,"Weymouth Town, Braintree Town Cities, Hingham, Hull & Cohasset Towns PUMA",68.416600543200005,3108.839439491051053,344.502940593914673,0.000133013329005
147,1806,2503900,2503900,25,Massachusetts,03900,"Weymouth Town, Braintree Town Cities, Hingham, Hull & Cohasset Towns PUMA",68.416600543200005,5373.825285571505447,1864192.944896890316159,0.719768920057664
148,1864,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,11.620050868787107,0.110972444423522,0.000000042846700
149,1864,2503900,2503900,25,Massachusetts,03900,"Weymouth Town, Braintree Town Cities, Hingham, Hull & Cohasset Towns PUMA",68.416600543200005,11534.793861344505785,4484268.275749662891030,1.731385660974970
150,1905,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,7516.904640427603226,2916039.687748624477535,1.125889217981246
151,1868,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,4097.901762680562570,865.833891404892711,0.000334300334454
