geography,id,HH_control,HHSize1_control,HHSize2_control,HHSize3_control,HHSize4p_control,Income1_control,Income2_control,Income3_control,Income4_control,HHWrk0_control,HHWrk1_control,HHWrk2_control,HHWrk3p_control,Tot_Pop_control,HH_result,HHSize1_result,HHSize2_result,HHSize3_result,HHSize4p_result,Income1_result,Income2_result,Income3_result,Income4_result,HHWrk0_result,HHWrk1_result,HHWrk2_result,HHWrk3p_result,Tot_Pop_result,HH_diff,HHSize1_diff,HHSize2_diff,HHSize3_diff,HHSize4p_diff,Income1_diff,Income2_diff,Income3_diff,Income4_diff,HHWrk0_diff,HHWrk1_diff,HHWrk2_diff,HHWrk3p_diff,Tot_Pop_diff
PUMA,2504800,45884.0,16118.0,18946.0,4975.0,5845.0,14131.0,15617.0,9410.0,6726.0,17980.0,14876.0,10676.0,2352.0,96631.0,45884,16118,18947,4973,5846,14128,15615,9411,6730,17979,14875,10677,2353,96606,0.0,0.0,1.0,-2.0,1.0,-3.0,-2.0,1.0,4.0,-1.0,-1.0,1.0,1.0,-25.0
PUMA,2504901,49633.0,12730.0,18074.0,7698.0,11131.0,11530.0,14061.0,13383.0,10659.0,12582.0,15104.0,16463.0,5484.0,131401.0,49633,12729,18072,7706,11126,11496,14034,13398,10705,12589,15107,16451,5486,131300,0.0,-1.0,-2.0,8.0,-5.0,-34.0,-27.0,15.0,46.0,7.0,3.0,-12.0,2.0,-101.0
PUMA,2504902,51437.0,13187.0,19799.0,8068.0,10383.0,10987.0,13891.0,15332.0,11227.0,12687.0,15605.0,18145.0,5000.0,126466.0,51437,13180,19791,8064,10402,10964,13866,15341,11266,12685,15608,18144,5000,126470,0.0,-7.0,-8.0,-4.0,19.0,-23.0,-25.0,9.0,39.0,-2.0,3.0,-1.0,0.0,4.0
PUMA,2504903,63250.0,20974.0,19582.0,9066.0,13628.0,16474.0,16995.0,14744.0,15037.0,18926.0,20297.0,19412.0,4615.0,148129.0,63250,20975,19574,9072,13629,16442,16977,14747,15084,18925,20292,19408,4625,148128,0.0,1.0,-8.0,6.0,1.0,-32.0,-18.0,3.0,47.0,-1.0,-5.0,-4.0,10.0,-1.0
PUMA,3300300,799.0,380.0,177.0,103.0,139.0,64.0,193.0,196.0,346.0,150.0,278.0,314.0,57.0,1860.0,799,380,177,103,139,64,193,196,346,150,278,314,57,1858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
PUMA,3300500,3065.0,1682.0,935.0,221.0,227.0,882.0,842.0,1023.0,318.0,770.0,1283.0,919.0,93.0,6609.0,3065,1670,934,224,237,881,842,1023,319,771,1283,918,93,6374,0.0,-12.0,-1.0,3.0,10.0,-1.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,-235.0
PUMA,3300600,39706.0,16295.0,12646.0,4765.0,6000.0,6075.0,10722.0,11629.0,11280.0,6701.0,14717.0,14941.0,3347.0,90612.0,39706,16283,12648,4770,6005,6068,10706,11631,11301,6718,14722,14929,3337,90513,0.0,-12.0,2.0,5.0,5.0,-7.0,-16.0,2.0,21.0,17.0,5.0,-12.0,-10.0,-99.0
PUMA,3300700,64358.0,26437.0,20165.0,8523.0,9233.0,11111.0,17461.0,18148.0,17638.0,12151.0,20807.0,25228.0,6172.0,150814.0,64358,26425,20171,8538,9224,11092,17434,18145,17687,12157,20817,25212,6172,150681,0.0,-12.0,6.0,15.0,-9.0,-19.0,-27.0,-3.0,49.0,6.0,10.0,-16.0,0.0,-133.0
PUMA,3300800,52960.0,25231.0,15657.0,5532.0,6540.0,17445.0,17882.0,11732.0,5901.0,13325.0,20146.0,15809.0,3680.0,115221.0,52960,25224,15672,5533,6531,17425,17874,11742,5919,13328,20154,15805,3673,115153,0.0,-7.0,15.0,1.0,-9.0,-20.0,-8.0,10.0,18.0,3.0,8.0,-4.0,-7.0,-68.0
PUMA,3300900,61326.0,26331.0,18341.0,7789.0,8865.0,14189.0,16871.0,16739.0,13527.0,13690.0,21885.0,20526.0,5225.0,140357.0,61326,26310,18351,7788,8877,14161,16859,16748,13558,13705,21892,20519,5210,140275,0.0,-21.0,10.0,-1.0,12.0,-28.0,-12.0,9.0,31.0,15.0,7.0,-7.0,-15.0,-82.0
PUMA,3301000,93852.0,42332.0,28097.0,10806.0,12617.0,18220.0,25651.0,25221.0,24760.0,20541.0,33635.0,32188.0,7488.0,208604.0,93852,42317,28094,10832,12609,18190,25613,25229,24820,20553,33645,32170,7484,208298,0.0,-15.0,-3.0,26.0,-8.0,-30.0,-38.0,8.0,60.0,12.0,10.0,-18.0,-4.0,-306.0
PUMA,4400101,64239.0,22427.0,21652.0,10961.0,9199.0,19609.0,18034.0,15815.0,10781.0,17981.0,22708.0,18610.0,4940.0,143715.0,64239,22422,21648,10968,9201,19576,18025,15828,10810,17980,22704,18603,4952,143625,0.0,-5.0,-4.0,7.0,2.0,-33.0,-9.0,13.0,29.0,-1.0,-4.0,-7.0,12.0,-90.0
PUMA,4400102,82302.0,30726.0,25018.0,14003.0,12555.0,30386.0,25611.0,16148.0,10157.0,23803.0,30504.0,21898.0,6097.0,179070.0,82302,30719,25008,14009,12566,30350,25609,16163,10180,23806,30504,21894,6098,179075,0.0,-7.0,-10.0,6.0,11.0,-36.0,-2.0,15.0,23.0,3.0,0.0,-4.0,1.0,5.0
PUMA,4400103,81538.0,33450.0,20965.0,13651.0,13472.0,39090.0,23634.0,11075.0,7739.0,24714.0,31786.0,19547.0,5491.0,190598.0,81538,33458,20964,13647,13469,39050,23656,11086,7746,24716,31801,19525,5496,190484,0.0,8.0,-1.0,-4.0,-3.0,-40.0,22.0,11.0,7.0,2.0,15.0,-22.0,5.0,-114.0
PUMA,4400104,54423.0,19890.0,17449.0,9000.0,8084.0,17353.0,16514.0,12767.0,7789.0,16275.0,19583.0,14640.0,3925.0,122461.0,54423,19878,17452,9002,8091,17337,16514,12774,7798,16269,19579,14643,3932,122419,0.0,-12.0,3.0,2.0,7.0,-16.0,0.0,7.0,9.0,-6.0,-4.0,3.0,7.0,-42.0
PUMA,4400201,76105.0,26379.0,25978.0,12688.0,11060.0,20376.0,23898.0,18571.0,13260.0,20311.0,28736.0,21638.0,5420.0,165356.0,75950,26356,25953,12645,10996,20310,23818,18551,13271,20282,28709,21594,5365,164870,-155.0,-23.0,-25.0,-43.0,-64.0,-66.0,-80.0,-20.0,11.0,-29.0,-27.0,-44.0,-55.0,-486.0
PUMA,4400300,54090.0,18787.0,19143.0,8348.0,7812.0,12985.0,14795.0,13278.0,13032.0,14366.0,19885.0,16593.0,3246.0,123452.0,54090,18773,19132,8357,7828,12975,14786,13273,13056,14362,19881,16587,3260,123395,0.0,-14.0,-11.0,9.0,16.0,-10.0,-9.0,-5.0,24.0,-4.0,-4.0,-6.0,14.0,-57.0
PUMA,4400400,64631.0,21539.0,23259.0,10651.0,9182.0,13855.0,18912.0,16329.0,15535.0,16056.0,22933.0,20876.0,4766.0,145643.0,64631,21541,23251,10660,9179,13819,18879,16351,15582,16054,22948,20878,4751,145504,0.0,2.0,-8.0,9.0,-3.0,-36.0,-33.0,22.0,47.0,-2.0,15.0,2.0,-15.0,-139.0
